"","kappa.LP","kappa.LoFLP","kappa.mseL","df","lof","LP","LoFLP","mseL","DP","LoFDP","mseD","mseD_point","compound"
"1",1,0,0,16,3,0.702725620138904,0.457059599904624,0.159724996421715,0.127386288124619,0.0704948322568082,0.0657473762788011,0.0689312035266955,0.702725620138904
"2",0,1,0,18,1,615.35134409081,0.440996681886276,85.1749445779958,0.469709302766957,0.067374984706761,0.24575996223017,0.252601426460131,0.440996681886276
"3",0,0,1,1,18,3805.67514150131,3949.88790771078,0.0883278761177315,16.0615463795808,6.97122573351038,0.0712917024626668,0.0763810420906295,0.0883278761177315
"4",0.5,0.5,0,17,2,0.709305425506857,0.449544744700334,0.16716426134692,0.126716816164405,0.0694168373051878,0.0667798430620726,0.070922532917496,0.564680906728784
"5",0.5,0,0.5,12,7,0.801907289084815,0.494685025339984,0.115841091808048,0.150522472327396,0.0743862944576618,0.067864898872946,0.0717085259446626,0.304784868220876
"6",0,0.5,0.5,13,6,0.861864281223982,0.481151507221834,0.110270395353596,0.158653568752258,0.0729851819973593,0.0732528840602002,0.0777206028711268,0.230340545554469
"7",0.333333333333333,0.333333333333333,0.333333333333333,15,4,0.76368514634957,0.460008339305048,0.120889023132082,0.142692883053366,0.0704133677537598,0.0702219139039879,0.0735858419669932,0.348890361925115
"8",0.5,0.25,0.25,14,5,0.773879165050122,0.467990274710583,0.124387226177318,0.143463469032685,0.0712341889819314,0.0689580812658507,0.073345294620372,0.432105436152458
"9",0.25,0.5,0.25,15,4,0.769150104835071,0.460649399780623,0.132317902738554,0.139807972315684,0.0705492924988038,0.0695126951029798,0.0729874041787032,0.38334754193439
"10",0.25,0.25,0.5,12,7,0.858375092904927,0.49531322138756,0.107554271036733,0.159010515387185,0.0745105561473515,0.0710050844159614,0.0742202709844248,0.264821406364715
