"","DP","LoF","MSE","df","label","DP.1","LoF(DP)","MSE(D)","weighted_1","weighted_2","weighted_3","weighted_4","weighted_5","weighted_6","weighted_7","weighted_8","weighted_9","weighted_10","weighted_11"
"220",0.176678282289662,1.04936140171647,0.0822250371175214,9,470,0.692475947026306,0.867297532246612,0.861953294367479,0.774972696290683,0.772581337989447,0.864621284214512,0.802944471998688,0.773776093327744,0.818570637085178,0.817306716363326,0.74489954080038,0.746435865780501,0.801291840196635,0.804600512286558
"221",0.177522636954062,1.10786573209771,0.0772526767081274,8,742,0.689182309066167,0.821497161411682,0.917432827482591,0.752436914693189,0.795159401917348,0.868140808603559,0.803843469682179,0.773503256016398,0.808221004147326,0.830849159684987,0.758136674370411,0.730731960729092,0.833990091539399,0.774786571574225
"222",0.176755505891274,1.04919498651443,0.0822823631837836,9,466,0.692173407728371,0.86743509627991,0.861352772095684,0.774864831164283,0.772143434549403,0.864388584372669,0.802683468368853,0.773502936029808,0.818403515687868,0.816965097371246,0.744509582939745,0.746257891583195,0.800802967724864,0.804568384933879
"223",0.176813851048792,1.04878873929914,0.0822644848357526,9,464,0.691945003865978,0.867771096352283,0.861539967878502,0.774887007647092,0.772099913485544,0.864649919029221,0.802756928731279,0.773492205238935,0.818538935188091,0.817065558983943,0.744399709808339,0.746190035857779,0.800830882319758,0.804687607400198
"224",0.177468553974415,1.10809449693558,0.0773013638271293,8,744,0.689392335191693,0.821327564264994,0.916854996005416,0.752473871630072,0.795030066556192,0.867777782991313,0.803700986754012,0.773459341041177,0.808071845866464,0.830607866906863,0.758131460226395,0.730830112087368,0.833724545001196,0.774758617797976
"225",0.17690768422834,1.04852537492579,0.0822389063182603,9,479,0.691577990979746,0.867989059595197,0.861807930040516,0.774778761987734,0.772015153263091,0.864892973001603,0.802765377717692,0.773395723210924,0.818596791390042,0.817135534111693,0.744213603864719,0.745988603630816,0.800855283715258,0.804680027423476
"226",0.177596332387421,1.10760487916145,0.0773045514626654,8,756,0.688896325745185,0.821690632883966,0.916817189698912,0.752369362675674,0.794727622121948,0.867951667342484,0.803615523265044,0.773258504354556,0.808096679111944,0.830533060572469,0.757757356725608,0.730587141616561,0.833501631832144,0.774801013662088
"227",0.176895880518057,1.0485388209594,0.0823204306223893,9,477,0.691624137821718,0.86797792885799,0.860954456713685,0.774799642936603,0.77165852799562,0.864459059863103,0.802514708244294,0.773227490432144,0.818402450457746,0.816741823127994,0.744000945368086,0.746018599350177,0.800344257000604,0.804691045528348
"228",0.177927033783719,1.10717287041214,0.0770711250833797,8,542,0.68761591898527,0.822011249069672,0.919593966563488,0.751816480562426,0.795190197633159,0.869434635318715,0.80403187363537,0.773199260063214,0.808489509891373,0.831484154682579,0.757581427875243,0.729776490474206,0.834665987239582,0.774522100702352
"229",0.177026720710366,1.04805240046218,0.0823254462013679,9,483,0.691112959425401,0.868380773463418,0.86090200409698,0.774692975478945,0.77134981158144,0.864633302732403,0.802424754957978,0.77301958621315,0.818428583318027,0.816660722178848,0.743619204866815,0.745766305503817,0.800114531648341,0.804741648727317
"230",0.177748611135503,1.10721249157294,0.0773606548160436,8,747,0.688306142399319,0.821981833722463,0.916152297204152,0.752180261035762,0.794099019983569,0.867790611394774,0.803286583056661,0.772855489816488,0.80792014989311,0.83012750470005,0.75714139067994,0.730256060533595,0.832860627223891,0.774762683487238
"231",0.17708608792088,1.04783967714659,0.0824053157810132,9,476,0.690881267319979,0.868557064590161,0.860067593348945,0.774641727202822,0.770846670145083,0.864301905718299,0.802130049348637,0.772741868912078,0.818244658442885,0.816237861179571,0.743212729623577,0.74565007158866,0.799508088585506,0.804760608746781
"232",0.177793832277142,1.10673246355095,0.0774320768613415,8,754,0.688131074517843,0.822338355580042,0.915307253734792,0.752247682776444,0.793631755933757,0.867578389476567,0.803087514030204,0.772662700910927,0.807857557438604,0.829781754831033,0.756780177719426,0.730237776082916,0.83227782990375,0.774920984337405
"233",0.177845271033765,1.10677883971625,0.0773918163168764,8,740,0.687932044166002,0.82230389801893,0.915783412198851,0.752123129208133,0.793723349012282,0.86778584316189,0.803138084429457,0.772643312910088,0.80788724698527,0.829928843732944,0.756765428656798,0.730086765657066,0.832486171950891,0.774824620989704
"234",0.177127688275503,1.04782632777741,0.0824333016754097,9,471,0.690719006377025,0.868568130058358,0.859775602607919,0.774555689259758,0.770625298014898,0.864160683800738,0.801979876987596,0.772587994253687,0.818132369529812,0.816053971552557,0.743012254745453,0.745536483724639,0.79926454260704,0.804704436149692
"235",0.177202745871315,1.04739439533043,0.0824424516529974,9,465,0.690426439195038,0.868926316773365,0.859680179347978,0.774551291273014,0.770419317692499,0.864290883813953,0.801947170620484,0.772482541770621,0.818191676866486,0.816006368232376,0.742774947310129,0.745428385056796,0.799092547780767,0.804811991117006
"236",0.177946401751912,1.1062730930596,0.0774411100138226,8,752,0.687541077779621,0.822679824586954,0.915200487315915,0.752081227836504,0.793245188723902,0.867707886541866,0.802937817811398,0.772389031195337,0.807828455003799,0.829641552851061,0.756318136043282,0.729921320591568,0.831975195947978,0.77491389456284
"237",0.177389476011888,1.04710271362282,0.0823716513216788,9,474,0.689699657488789,0.869168365531874,0.860419094260442,0.774251331291994,0.770344568753646,0.864782665084566,0.801969749792989,0.772295479665048,0.818265928485333,0.816198890712428,0.742466198476583,0.744974334028271,0.799269725444555,0.804678895131809
"238",0.177911118647369,1.10649356914063,0.0774963898651337,8,750,0.687677430043097,0.822515900250904,0.914547655010478,0.752080860316313,0.793040844502694,0.867311932226979,0.802746593240551,0.772289350308265,0.807643921633705,0.829345396792282,0.756238228179429,0.729969331945139,0.831634473919146,0.774862169821451
"239",0.178044016006692,1.10620390435044,0.0774350152798266,8,753,0.687164127116276,0.822731279978576,0.915272520665467,0.751898544923273,0.793058915047677,0.867769170031016,0.802828850292921,0.772204535251366,0.807758860227232,0.829573430442791,0.756061506822081,0.72966971755265,0.831866768856154,0.774804556442267
"240",0.177388029462503,1.04687649110665,0.0824580736960391,9,469,0.689705281795109,0.869356186594144,0.859517309174544,0.774338139093791,0.769943912198806,0.864422749709679,0.801749398249994,0.772137899716506,0.818141493508629,0.815816789300833,0.742210755650035,0.745032041693837,0.798713335018718,0.804797002142406
