"","DP","LoF","MSE","df","label","DP.1","LoF(DP)","MSE(D)","weighted_1","weighted_2","weighted_3","weighted_4","weighted_5","weighted_6","weighted_7","weighted_8","weighted_9","weighted_10","weighted_11"
"11",0.159593720875504,0.0777317086615767,0.066820380385793,10,121,0.766605729701325,0.850568606070536,0.896720700738665,0.807496604895489,0.829114724949477,0.873339840189305,0.836205208884402,0.818234272971721,0.839773157390038,0.850940022202491,0.807731659767623,0.793629538455008,0.851063863617548,0.821605970195007
"12",0.159613116642361,0.0775431561496477,0.0668960881752558,10,139,0.766512573785834,0.852636833045113,0.895705861995918,0.808428632225512,0.82859507941669,0.873906064466967,0.836532714860544,0.818449745996432,0.840530002076434,0.850949037774727,0.807361423206422,0.794207929550611,0.850387182120803,0.82290396391763
"13",0.159881647990922,0.0771620031056766,0.0669706594870247,10,133,0.765225167396709,0.856848557873872,0.894708500440876,0.809741984296642,0.827437890128998,0.875573919392452,0.837127533349455,0.818542118058247,0.842014823436756,0.851165692749695,0.806157721108379,0.794622491438758,0.849279792395717,0.825149159754431
"14",0.15981879329741,0.0775064748999736,0.0670257297973178,10,140,0.765526120697458,0.853040357842166,0.89397338163068,0.808099422062214,0.827260524167884,0.873267068752513,0.835766052260528,0.817623844732375,0.840051554111335,0.849952571050147,0.806148168931917,0.793651549993988,0.848925794563604,0.822810307548988
"15",0.166420009450377,0.0814865572388064,0.0657313502053536,9,123,0.735160761326576,0.811374947281142,0.911577476135461,0.772328313584653,0.81863055853291,0.860018096694533,0.816204840804895,0.795142476994271,0.814994678677335,0.83906918358706,0.789804143520555,0.759734900211938,0.848509085273574,0.785130476167563
"16",0.160080951303277,0.0771570304046634,0.0670233684653104,10,128,0.764272449978941,0.856903780990543,0.894004877629884,0.809263833427554,0.826597422037666,0.875257767669065,0.836578535262101,0.817884709760205,0.841614196827211,0.850579693135035,0.80527725482371,0.793979865834569,0.848482052642718,0.824842014608862
"17",0.160039531816406,0.0771565854065619,0.0670414110024102,10,130,0.764470249687228,0.85690872315528,0.893764278335643,0.80937088256848,0.826593129067,0.87514250642418,0.836577247025432,0.817936678721525,0.841614438325372,0.850521476956755,0.805343931117377,0.79411837875137,0.848402992337434,0.824916338770167
"18",0.166453718577948,0.0814692788693572,0.0657443527305873,9,147,0.735011881336986,0.811547027312971,0.911397189789279,0.772331992952995,0.81846671472471,0.860024232260281,0.816153621309449,0.795064795440614,0.814999527171306,0.838988204900232,0.789645445261903,0.759686023972047,0.848339931714642,0.785188470652572
"19",0.166457947210811,0.0814309045159879,0.0657882067767893,9,149,0.734993209381409,0.81192946924441,0.910789657582102,0.772504140047996,0.818183484004452,0.859940092840155,0.816093478155772,0.795015804064506,0.815050478137568,0.838801991649442,0.78945657821856,0.759792471447224,0.84795571025356,0.785428480562071
"20",0.16006790699439,0.0771155757951542,0.0670888181768199,10,138,0.764334732332089,0.857364422193848,0.893132714981635,0.809514302621387,0.826227786171901,0.875065834164866,0.836478950691721,0.817828350040128,0.841652130331632,0.850296246561576,0.805059036479735,0.794165254853924,0.84795316083593,0.825160005607558
"21",0.166600441120832,0.0814636665054224,0.0657711422981963,9,145,0.734364567250938,0.811602938094585,0.911025964115202,0.772018419737133,0.817939599170885,0.859878682813076,0.8158219006857,0.794647366315607,0.814765108403028,0.838647020596696,0.789074594760585,0.759257364296046,0.847860509429808,0.784993953882845
"22",0.166695779656084,0.0814235250447871,0.065839027392455,9,141,0.733944561163639,0.81200305498185,0.910086626371382,0.771987840482082,0.817283995691241,0.859647090910967,0.815519876986829,0.794313103816278,0.814639246101648,0.838197953555165,0.788502513113849,0.75909254349948,0.847116044025338,0.785102199930379
"23",0.166794989586441,0.0813827361307432,0.0658561656634478,9,112,0.733508009748158,0.812410029782498,0.909849787328712,0.771951594366643,0.816934579188119,0.859750599197999,0.815423603122882,0.794124644434053,0.814669163408418,0.838069205950529,0.788121435505044,0.758918254577165,0.846801110346145,0.785208763198371
"24",0.166695102902236,0.0813844282439785,0.0658806738399942,9,143,0.733947540854087,0.812393138470566,0.909511315392727,0.772174815820359,0.817027290432491,0.859581730835638,0.815479643345409,0.794284519243524,0.814706919505753,0.838034445861214,0.788338461224243,0.759216134045351,0.846760149536302,0.785354682875574
"25",0.160343320732081,0.0771079808759245,0.0672090480086896,10,129,0.763021872622576,0.857448870177871,0.891534995636678,0.808858604826104,0.824779183708742,0.874325840137819,0.835528378333243,0.816780104939062,0.840955396687177,0.849191234483924,0.803657107842215,0.793281639201658,0.84645639942852,0.824741441462905
"26",0.160281976269015,0.0770832384606638,0.0672242348685845,10,126,0.763313902757051,0.857724096756754,0.8913335858758,0.809143205980353,0.824843814363237,0.87436736836085,0.835661418342764,0.816955793410471,0.841123305847664,0.84924467338542,0.803801610705644,0.793568923131082,0.846436868291431,0.825023143800728
"27",0.166887619006299,0.081361904696248,0.0658869025616268,9,152,0.73310088295344,0.81261803457764,0.909425333314575,0.771836121629946,0.816517308348783,0.859660064765838,0.815215475922849,0.793862426695991,0.814565338268829,0.837811030112127,0.787707252998698,0.75870214844567,0.846381079132,0.785197458413967
"28",0.166876972973667,0.0813792452264416,0.0658919943303497,9,150,0.733147651634483,0.812444879524097,0.909355057956924,0.771778501582904,0.816511803492796,0.859535258442864,0.81515390517167,0.793830117987737,0.814475803089759,0.837747386768129,0.787720462925877,0.758680521104508,0.846355473319465,0.785102607667323
"29",0.166863895323677,0.0813301020349385,0.0659223191339007,9,155,0.733205110729276,0.812935794121536,0.908936747226158,0.772041889371731,0.816355969167778,0.859597124478987,0.815214314987387,0.793889793885891,0.814644086752776,0.837697584840662,0.787640809034158,0.758872947202125,0.846118002967722,0.785439356011087
"30",0.16693473058684,0.0813469012342836,0.0659106348687862,9,159,0.732893990468151,0.812767912244624,0.90909787839942,0.771798366498291,0.816255089923659,0.859584541887948,0.815091038112466,0.793715531565936,0.814509634870147,0.83763969434103,0.787464507587359,0.758606029555943,0.846098288121724,0.785220121277064
"31",0.160463733907197,0.0770452278923377,0.0672376427138298,10,136,0.762449295354631,0.858147258336992,0.891155845218944,0.808884276290217,0.82429433228571,0.874495823503818,0.835427593535327,0.816552952613028,0.841050486780492,0.849024116808069,0.803141125609168,0.793099941841098,0.846004674113762,0.824982751745857
