"","kappa.1","kappa.2","kappa.3","criterion","CPs","tau2","df","DP","LoFDP","mseD","compound"
"1",1,0,0,"GD","4CP","1",3,0.258445488099142,0.845181092141523,1.04062668712514,0.258445488099142
"2",0,1,0,"GD","4CP","1",3,0.441652060334429,0.376835557439966,1.2894481423116,0.376835557439966
"3",0,0,1,"GD","4CP","1",3,0,0,0.769398332447284,0.747299204353011
"4",0.5,0.5,0,"GD","4CP","1",3,0.33132913039306,0.456338782398735,1.06712630794424,0.388842297000725
"5",0.5,0,0.5,"GD","4CP","1",3,0.241441010611929,0.801084810337678,0.960677281229314,0.474984013656312
"6",0,0.5,0.5,"GD","4CP","1",3,0.322544977949386,0.362684747460994,0.869285697578683,0.550686361242034
"7",0.333333333333333,0.333333333333333,0.333333333333333,"GD","4CP","1",3,0.288063844121034,0.475879502510301,0.93257803193364,0.496516319113813
"8",0.5,0.25,0.25,"GD","4CP","1",3,0.263179780641546,0.580042619409368,0.945247146289715,0.436505917248893
"9",0.25,0.5,0.25,"GD","4CP","1",3,0.343406476446852,0.402095177738118,1.02746192277682,0.481331210635647
"10",0.25,0.25,0.5,"GD","4CP","1",3,0.276288723283425,0.468124848340545,0.902288678611094,0.558876274399025
