"","kappa.1","kappa.2","kappa.3","criterion","CPs","tau2","df","DP","LoFDP","mseD","compound"
"1",1,0,0,"GD","5CP","1/q",4,0.375116155697991+0i,0.417686195138051+0i,1.00655464847418+0i,0.375116155697991+0i
"2",0,1,0,"GD","5CP","1/q",5,0.96654141279389+0i,0.533654894625978+0i,2.07890103206603+0i,0.533654894625978+0i
"3",0,0,1,"GD","5CP","1/q",5,0+0i,0+0i,0.706092290426794+0i,0.677793308338273+0i
"4",0.5,0.5,0,"GD","5CP","1/q",4,0.376415777715308+0i,0.428424978849516+0i,1.01696295112547+0i,0.401579284334122+0i
"5",0.5,0,0.5,"GD","5CP","1/q",5,0.443385638141984+0i,0.575321823295268+0i,0.922294859884768+0i,0.629639913642058+0i
"6",0,0.5,0.5,"GD","5CP","1/q",5,0.396164827896676+0i,0.563681291391712+0i,0.802771589752097+0i,0.664803250380733+0i
"7",0.333333333333333,0.333333333333333,0.333333333333333,"GD","5CP","1/q",5,0.434661362271364+0i,0.568497832895521+0i,0.910572826539582+0i,0.603310776932963+0i
"8",0.5,0.25,0.25,"GD","5CP","1/q",5,0.43960384611953+0i,0.569191999524749+0i,0.924299235888327+0i,0.560743593055255+0i
"9",0.25,0.5,0.25,"GD","5CP","1/q",5,0.442534335467043+0i,0.567099674429655+0i,0.924003825010869+0i,0.596834335087663+0i
"10",0.25,0.25,0.5,"GD","5CP","1/q",5,0.426825286918665+0i,0.565706097965249+0i,0.889808361776794+0i,0.653498753500656+0i
