"","kappa.1","kappa.2","kappa.3","criterion","CPs","tau2","df","LP","LoFLP","mseL","compound"
"1",1,0,0,"GL","4CP","1",3,0.153507492107538,0.208792670037621,1.5289284464582,0.153507492107538
"2",0,1,0,"GL","4CP","1",3,98667.0388634109,0.179159333360025,730558.43391176,0.179159333360025
"3",0,0,1,"GL","4CP","1",3,0.819296988385866,0.510423533220328,0.544346533864586,0.544346533864586
"4",0.5,0.5,0,"GL","4CP","1",3,0.158652451207476,0.204985731121841,1.60818663223953,0.180337152869387
"5",0.5,0,0.5,"GL","4CP","1",3,0.321253458320193,0.20574160807843,0.758363982735986,0.493585911589271
"6",0,0.5,0.5,"GL","4CP","1",3,0.379201208948011,0.195368410250821,0.518134382201505,0.318162050765014
"7",0.333333333333333,0.333333333333333,0.333333333333333,"GL","4CP","1",3,0.217272906324288,0.184462970869378,1.19361840743494,0.363016830034613
"8",0.5,0.25,0.25,"GL","4CP","1",3,0.172471379492637,0.198066146910324,1.2501901905165,0.292957825591675
"9",0.25,0.5,0.25,"GL","4CP","1",3,0.192441911953032,0.185032183283137,1.27044970096351,0.302473910615309
"10",0.25,0.25,0.5,"GL","4CP","1",3,0.396653613201841,0.195549763113705,0.496518545400937,0.371864666083987
