"","kappa.1","kappa.2","kappa.3","criterion","CPs","tau2","df","LP","LoFLP","mseL","compound"
"1",1,0,0,"GL","4CP","1/q",3,0.153507492107538,0.139364758058514,1.242120223259,0.153507492107538
"2",0,1,0,"GL","4CP","1/q",3,74.0680644979177,0.134322444591191,546.248753150447,0.134322444591191
"3",0,0,1,"GL","4CP","1/q",5,1716.12462870805,3671.94306760936,0.870127822438908,0.870127822438908
"4",0.5,0.5,0,"GL","4CP","1/q",3,0.157970905561457,0.137305067185025,1.39572265592011,0.147275951198405
"5",0.5,0,0.5,"GL","4CP","1/q",3,0.161016172512764,0.152753469044481,1.11382864019809,0.423490760796258
"6",0,0.5,0.5,"GL","4CP","1/q",3,0.143076569424541,0.144929817050656,1.09678202341936,0.398693388456112
"7",0.333333333333333,0.333333333333333,0.333333333333333,"GL","4CP","1/q",3,0.153341490897774,0.142045677590389,1.16236522073878,0.293636543859653
"8",0.5,0.25,0.25,"GL","4CP","1/q",3,0.16073363704203,0.143224516588132,1.1226421190707,0.253873903243739
"9",0.25,0.5,0.25,"GL","4CP","1/q",3,0.15480021810041,0.142652559127293,1.23971404225688,0.249984485128262
"10",0.25,0.25,0.5,"GL","4CP","1/q",3,0.166046954566257,0.15198566945138,1.06485450751129,0.411295090651196
