"","kappa.DP","kappa.LoFDP","kappa.mseD","df","lof","DP","LoFDP","mseD","compound"
"1",0.333333333333333,0.333333333333333,0.333333333333333,16,9,0.167352254618442,0.740222032361681,0.13198196981249,0.253806492291478
"2",0.4,0.2,0.4,17,8,0.165125390459377,0.758168607272196,0.132141389177514,0.204877492380835
"3",0.25,0.25,0.5,14,11,0.177324178330543,0.709764235367593,0.129726497681011,0.214528434524762
"4",1,0,0,21,4,0.158041806588546,1.09161282723312,0.134840575145369,0.158041806588546
"5",0,1,0,14,11,0.232612106643316,0.674694476838447,0.164925761551174,0.674694476838447
"6",0,0,1,14,11,0.180015536874411,0.822496634917606,0.125764424682203,0.125764424682203
