"","kappa.DP","kappa.LoFDP","kappa.mseD","df","lof","DP","LoFDP","mseD","compound"
"1",0.333333333333333,0.333333333333333,0.333333333333333,21,4,0.155618649688241,0.185625815173294,0.100288268851002,0.142555305033614
"2",0.4,0.2,0.4,20,5,0.159194763129592,0.178886807673089,0.101363532288991,0.136031619387791
"3",0.25,0.25,0.5,20,5,0.15779689990757,0.177180708941691,0.100337340220655,0.129526913746373
"4",1,0,0,21,4,0.158041806588546,0.189047068850152,0.104588351757343,0.158041806588546
"5",0,1,0,20,5,0.180204909317185,0.177591802077494,0.116822561381546,0.177591802077494
"6",0,0,1,9,16,0.212736722463604,0.228518119921023,0.0973283931992754,0.0973283931992754
