"","kappa.DP","kappa.LoFDP","kappa.mseD","df","lof","DP","LoFDP","mseD","compound"
"1",0.333333333333333,0.333333333333333,0.333333333333333,21,4,0.155313251594242,0.175680298850683,0.0997783561490713,0.139633397780392
"2",0.4,0.2,0.4,21,4,0.155313251594242,0.175680298850683,0.0997783561490713,0.133365210566013
"3",0.25,0.25,0.5,21,4,0.155313251594242,0.175680298850683,0.0997783561490713,0.1283810920851
"4",1,0,0,21,4,0.153462380032511,0.186117638308048,0.101576513515312,0.153462380032511
"5",0,1,0,20,5,0.178316109713202,0.176961806385141,0.115487762266642,0.176961806385141
"6",0,0,1,9,16,0.212736722463604,0.234252573264615,0.0973283931992754,0.0973283931992754
