"","kappa.DP","kappa.LoFDP","kappa.mseD","df","lof","DP","LoFDP","mseD","compound"
"1",0.333333333333333,0.333333333333333,0.333333333333333,16,9,0.168214923705209,0.725962202829265,0.129870170101401,0.25124416290969
"2",0.4,0.2,0.4,16,9,0.16356652053975,0.765851614694942,0.128424126749883,0.20219263920174
"3",0.25,0.25,0.5,14,11,0.174804760114032,0.721199220837968,0.127070785625972,0.21241001196243
"4",1,0,0,21,4,0.153146608966426,0.932192543284018,0.13255012683326,0.153146608966426
"5",0,1,0,14,11,0.233606587038139,0.670068389639287,0.166771751009094,0.670068389639287
"6",0,0,1,11,14,0.196499660991672,0.847582470379921,0.124957180731668,0.124957180731668
